구분,분류,부문,URL,작가명,작가 UUID
수상 작가,판매 우수,대상,https://www.idus.com/v2/artist/42d2ac60-6745-443d-9999-90ad78e9d100,정인당,42d2ac60-6745-443d-9999-90ad78e9d100
수상 작가,판매 우수,카테고리 최우수상,https://www.idus.com/v2/artist/fe23da0c-5fe9-4377-8679-0dc04ee78acd,자작나무공방,fe23da0c-5fe9-4377-8679-0dc04ee78acd
수상 작가,판매 우수,카테고리 최우수상,https://www.idus.com/v2/artist/0eeb869f-ab34-4ab6-a696-1e0430d26c54,연본당의 수제 전통차 by 연세본초당,0eeb869f-ab34-4ab6-a696-1e0430d26c54
수상 작가,판매 우수,카테고리 최우수상,https://www.idus.com/v2/artist/cb954127-4d76-4723-b9ad-74453aa619c3,숲공방,cb954127-4d76-4723-b9ad-74453aa619c3
수상 작가,판매 우수,카테고리 최우수상,https://www.idus.com/v2/artist/a1f45f66-b63d-4294-99b3-196dabafb4e7,세날다,a1f45f66-b63d-4294-99b3-196dabafb4e7
수상 작가,판매 우수,카테고리 최우수상,https://www.idus.com/v2/artist/631cf453-3db5-4a5f-9f57-870721267673,17아워즈,631cf453-3db5-4a5f-9f57-870721267673
수상 작가,판매 우수,카테고리 우수상,https://www.idus.com/v2/artist/98390f28-b4c0-4888-987a-75e0db5705ec,일편심(국가무형유산 장도장),98390f28-b4c0-4888-987a-75e0db5705ec
수상 작가,판매 우수,카테고리 우수상,https://www.idus.com/v2/artist/99cb6ab8-14ea-48a8-8c25-ee272f8e9ad9,병아리방앗간,99cb6ab8-14ea-48a8-8c25-ee272f8e9ad9
수상 작가,판매 우수,카테고리 우수상,https://www.idus.com/v2/artist/3483695a-6cfc-4405-806c-a28111b32dde,어린아이공방,3483695a-6cfc-4405-806c-a28111b32dde
수상 작가,판매 우수,카테고리 우수상,https://www.idus.com/v2/artist/7919c411-219f-41ec-9fdb-bc45405d026b,신디스튜디오(cindystudio),7919c411-219f-41ec-9fdb-bc45405d026b
수상 작가,판매 우수,카테고리 우수상,https://www.idus.com/v2/artist/26c90516-8409-476e-b022-a9c5e39ddf6a,레이문,26c90516-8409-476e-b022-a9c5e39ddf6a
수상 작가,판매 우수,d special 작가상,https://www.idus.com/v2/artist/8a900fe2-b152-452c-aa32-642c334f5834,흙그림,8a900fe2-b152-452c-aa32-642c334f5834
수상 작가,판매 우수,d special 작가상,https://www.idus.com/v2/artist/eacceac9-7992-43db-af29-fb383c7fced9,달달한놀이터,eacceac9-7992-43db-af29-fb383c7fced9
